head words,entry,sources,all lexemes,linked words,linked entries
"ecka","<heading><strong>ecka</strong></heading> <gender>жр</gender> (о), <lang>свн.</lang> <lex>ecke</lex> <gender>жр</gender>, <lex>eck</lex> <gender>срр</gender> <em>угол, край</em>; <lang>нн.</lang> <lex>Ecke</lex> <gender>жр</gender>; <lex>Eck</lex> <gender>срр</gender>; <lang>дс.</lang> <lex>eggia</lex>, <lang>да.</lang> <lex>ecƷ</lex>, <lang>ди.</lang> <lex>egg</lex> <gender>жр</gender>; ср. <lang>лат.</lang> <lex>acns</lex> <em>игла</em>, <lex>acumen</lex> <em>острый конец</em>.",,"egg, acumen, Ecke, eck, ecke, ecƷ, eggia, acns, Eck",,
"echert, eckert","<heading><strong>echert</strong></heading>, <heading><strong>eckert</strong></heading> (нар.) <em>только, лишь</em>.",,,,
"elilenti, ellenti","<heading><strong>elilenti</strong></heading>, <heading><strong>ellenti</strong></heading> <gender>срр</gender> (ja), <lang>свн.</lang> <lex>eilende</lex> <em>другая страна, чужбина, изгнание, ссылка</em>; ср. <lang>нн.</lang> <lex>Elend</lex> <em>жалкое состоя­ние</em>.",,"Elend, eilende",,
"elilenti","<heading><strong>elilenti</strong></heading>, <lang>свн.</lang> <lex>eilende</lex>, <lex>ellendec</lex> (прил.) <em>чужеземный, изгнанный, несчастный</em>; <lang>нн.</lang> <lex>elend</lex> <em>жалкий</em>, <lang>дс.</lang> <lex>elilendi</lex>.",,"elend, elilendi, ellendec, eilende",,
"elithioda","<heading><strong>elithioda</strong></heading> <lang>дс.</lang> <gender>жр</gender> (ô) <em>чужой народ, языч­ники</em>.",,,,
"ellenkraft","<heading><strong>ellenkraft</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>сила, соединенная с мужеством</em>.",,,,
"ellian, ellen, ellent","<heading><strong>ellian</strong></heading>, <heading><strong>ellen</strong></heading>, <heading><strong>ellent</strong></heading>, <lang>свн.</lang> <lex>ellen</lex>, <lex>ellent</lex> <gender>срр</gender> (a) <em>рвение, мужество, сила, храб­рость</em>; <lang>дс.</lang> <lex>ellean</lex>, <lang>го.</lang> <lex>aljan</lex>.",,"ellen, ellent, ellean, aljan",,
"ellianlîcho","<heading><strong>ellianlîcho</strong></heading> (нар.) <em>мужественно, смело, бодро</em>.",,,,
"elinbogo, ellinbogo","<heading variants="elinbogo, ellinbogo"><strong>el(l)inbogo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>ellenboge</lex> <em>ло­коть</em>; <lang>нн.</lang> <lex>Ellenbogen</lex>; <lang>да.</lang> <lex>elnboƷa</lex>, <lang>ди.</lang> <lex>ǫlnbogi</lex>.",,"elnboƷa, Ellenbogen, ǫlnbogi, ellenboge",,
"elliu","<heading><strong>elliu</strong></heading> (прил.) <gender>жр</gender>, <linked>см. al</linked>.",,,"al","<heading variants="al, all"><strong>al (ll)</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>целый, весь, каждый, всякий</em>; <lang>нн.</lang> <lex>all</lex>; <lang>дс.</lang> <lex>al</lex>, <lang>да.</lang> <lex>eall</lex>, <lang>а.</lang> <lex>all</lex>, <lang>ди.</lang> <lex>allr</lex>, <lang>го.</lang> <lex>alls</lex>., <heading><strong>umbiwerft</strong></heading> <gender>мр</gender> <em>поворот, вращение; ок­ружность</em>; <lex>al</lex> <lex>these</lex> <lex>umbiwerft</lex> <em>вся земля</em>."
"elmeȥ","<heading><strong>elmeȥ</strong></heading>, <lang>свн.</lang> <gender>срр</gender> <em>локоть (мера длины)</em>; дви. <lang>дс.</lang> <lex>elina</lex>, <lang>свн.</lang> <lex>eile</lex>; <lang>нн.</lang> <lex>Elle</lex>; <lang>да.</lang> <lex>ein</lex>, <lang>ди.</lang> <lex>ǫln</lex>, <lang>го.</lang> <lex>aleina</lex>; ср. <lang>лат.</lang> <lex>ulna</lex> <em>локоть (анат. и мера длины)</em>.",,"eile, aleina, ǫln, ein, ulna, Elle, elina",,
"elpe","<heading><strong>elpe</strong></heading> <source>— Разг.—</source> <gender>жр</gender>, <linked>см. helfa</linked>.","Разг.",,"helfa","<heading><strong>helfa</strong></heading>, <heading><strong>hilfa</strong></heading> <gender>жр</gender> (6), <lang>свн.</lang> <lex>helfe</lex>, <lex>hitfe</lex> <em>по­мощь</em>; <lang>нн.</lang> <lex>Hilfe</lex>; <lang>дс.</lang> <lex>helpa</lex>, <lang>да.</lang> <lex variants="helpe, help">help(e)</lex>, <lang>ди.</lang> <lex>hjalp</lex>."
"elti","<heading><strong>elti</strong></heading> <gender>жр</gender> <em>старость</em>; <lang>дс.</lang> <lex>eldi</lex>; ср. <lang>нн.</lang> <lex>Alter</lex> <gender>срр</gender>.",,"Alter, eldi",,
"eltiron","<heading><strong>eltiron</strong></heading> (мн. сравн. от <lex>alt</lex>) <em>родители</em>; <lang>свн.</lang> <lex>eitern</lex>; <lang>нн.</lang> <lex>Eltern</lex>; <lang>дс.</lang> <lex>eldiron</lex>, <lang>да.</lang> <lex>eldran</lex>.",,"alt, Eltern, eldran, eldiron, eitern",,
"em, eme","<heading><strong>em</strong></heading>, <heading><strong>eme</strong></heading> <lang>нжн.</lang> (дат. вин, от <lex>ik</lex>) <em>ему, его</em>.",,"ik",,
"en, en, ene","<heading><strong>en</strong></heading>, <heading variants="en, ene"><strong>en(e)</strong></heading> <lang>нжн.</lang> (вин. от <lex>ik</lex>) <em>его</em>.",,"ik",,
"ên","<heading><strong>ên</strong></heading> <lang>дс.</lang> (числ.), <linked>см. ein</linked>.",,,"ein","<heading variants="enein, in ein"><strong>enein</strong></heading> <lang>свн.</lang> (нар.) (= <lex>in</lex> <lex>ein</lex>) <em>согласно</em>., <heading><strong>nein</strong></heading> <lang>двн.</lang>, <lang>свн.</lang> (нар.) <em>нет</em>: из <lex>ni</lex> и <lex>ein</lex>, <lang>свн.</lang> также <lex>neinâ</lex>, <lex>neine</lex>., <heading><strong>elmeȥ</strong></heading>, <lang>свн.</lang> <gender>срр</gender> <em>локоть (мера длины)</em>; дви. <lang>дс.</lang> <lex>elina</lex>, <lang>свн.</lang> <lex>eile</lex>; <lang>нн.</lang> <lex>Elle</lex>; <lang>да.</lang> <lex>ein</lex>, <lang>ди.</lang> <lex>ǫln</lex>, <lang>го.</lang> <lex>aleina</lex>; ср. <lang>лат.</lang> <lex>ulna</lex> <em>локоть (анат. и мера длины)</em>., <heading><strong>ein</strong></heading>, <source>— Хильт.—</source> <lex>aenon</lex>, <lang>двн.</lang> <lang>свн.</lang> (числ.) <em>один</em>, в <lang>свн.</lang> также неопределенный артикль; <lang>нн.</lang> <lex>ein</lex>; <lang>дс.</lang> <lex>ên</lex> <lang>да.</lang> <lex>ān</lex>, <lang>а.</lang> <lex>one</lex>, <lex variants="an, a">a(n)</lex>, <lang>ди.</lang> <lex>einn</lex>, <lang>го.</lang> <lex>ains</lex>; ср. <lang>длат.</lang> <lex>oinos</lex>."
"en-","<heading><strong>en-</strong></heading> <lang>свн.</lang> <lang>нжн.</lang> (отрицат. част., пишется чаще всего вместе с глаголом) <em>не</em>.",,,,
"enbieten","<heading><strong>enbieten</strong></heading> <lang>свн.</lang> (снгл. 2) <em>уведомлять, при­казывать</em>; <lang>нн.</lang> <lex>entbieten</lex> <em>призывать, передавать</em>.",,"entbieten",,
"endi, ende","<heading><strong>endi</strong></heading>, <heading><strong>ende</strong></heading> (сз.) <em>и</em>, <linked>см. anti</linked>.",,,"anti","<heading><strong>anti</strong></heading>, <heading><strong>enti</strong></heading>, <heading><strong>endi</strong></heading>, <heading><strong>indi</strong></heading>, <heading><strong>inti</strong></heading>, <heading><strong>int</strong></heading>, <heading><strong>in</strong></heading>, <heading><strong>unti</strong></heading>, <heading><strong>unta</strong></heading>, <heading><strong>im</strong></heading>, <lang>свн.</lang> <lex variants="unde, und">und(e)</lex> (сз.) <em>и</em>; <lang>нн.</lang> <lex>und</lex>; <lang>дс.</lang> <lex>endi</lex>, <lang>да.</lang> а, <lex>and</lex>."
"enein, in ein","<heading variants="enein, in ein"><strong>enein</strong></heading> <lang>свн.</lang> (нар.) (= <lex>in</lex> <lex>ein</lex>) <em>согласно</em>.",,"ein, in",,
"engi","<heading><strong>engi</strong></heading>, <lang>свн.</lang> <lex>enge</lex> (прил.) <em>узкий</em>; <lang>нн.</lang> <lex>eng</lex>; <lang>дс.</lang> <lex>engi</lex>, <lang>да.</lang> <lex>enƷe</lex>, <lang>ди.</lang> <lex>ǫngr</lex>, <lang>го.</lang> <lex>aggwus</lex>; ср. <lang>лат.</lang> <lex>angere</lex> <em>сжимать, стеснять</em> <lex>angustus</lex> <em>узкий</em>, <lang>русск.</lang> <lex>«узкий»</lex>.",,"enge, ǫngr, engi, eng, aggwus, «узкий», angere, enƷe, angustus",,
"engil, engel, angil","<heading><strong>engil</strong></heading>, <heading><strong>engel</strong></heading>, <heading><strong>angil</strong></heading> <gender>мр</gender> <em>ангел</em>; <lang>нн.</lang> <lex>Engel</lex>; из <lang>лат.</lang> <lex>angelus</lex>.",,"angelus, Engel",,
"enhant, enhende","<heading><strong>enhant</strong></heading>, <heading><strong>enhende</strong></heading> <lang>свн.</lang> (нар.) <em>в руках</em>.",,,,
"enheine","<heading><strong>enheine</strong></heading> <lang>свн.</lang> (неопр. мест.) <em>кто-нибудь, никто</em>.",,,,
"enko","<heading><strong>enko</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>enke</lex> <em>пастух</em>; ср. <lang>лат.</lang> <lex>anculus</lex> <em>служитель</em>.",,"anculus, enke",,
"ennônt","<heading><strong>ennônt</strong></heading> (нар.) <em>по ту сторону</em>.",,,,
"enphelhen","<heading><strong>enphelhen</strong></heading> <lang>свн.</lang> (снгл. 3) <em>передавать (для сохранения, во владение), доверять</em>; <lang>нн.</lang> <lex>empfehlen</lex> <em>рекомендовать</em>.",,"empfehlen",,
"ensamt","<heading><strong>ensamt</strong></heading> <lang>свн.</lang> (нар.) <em>вместе</em>.",,,,
"entfâhan, imphâhan","<heading><strong>entfâhan</strong></heading>, <heading><strong>imphâhan</strong></heading>, <lang>свн.</lang> <lex>enphâhen</lex>, <lex>enpfahen</lex>, <lex>emphâhen</lex> (снгл. 7) <em>восприни­мать, принимать, получать</em>; <lang>нн.</lang> <lex>emp­fangen</lex>.",,"enpfahen, enphâhen, emp­fangen, emphâhen",,
"entfermen","<heading><strong>entfermen</strong></heading> <lang>нжн.</lang> (слгл.) <em>сжалиться, уми­лосердиться</em>; ср. <lang>нн.</lang> <lex>sich</lex> <lex>erbarmen</lex>.",,"sich, erbarmen",,
"entherzen","<heading><strong>entherzen</strong></heading> <lang>свн.</lang> (слгл.) <em>обескураживать, лишать бодрости; отчаиваться, уны­вать</em>.",,,,
"enti, endi, ente","<heading><strong>enti</strong></heading>, <heading><strong>endi</strong></heading>, <heading><strong>ente</strong></heading>, <lang>свн.</lang> <lex variants="enteende, entend, enteend, entende">ent(e)end(e)</lex>, <gender>срр</gender> (ja) <em>конец</em>; <lang>нн.</lang> <lex>Ende</lex>; <lang>дс.</lang> <lex>endi</lex>, <lang>да.</lang> <lex>ende</lex>, <lang>ди.</lang> <lex variants="ender, ende">ende(r)</lex>, <lang>го.</lang> <lex>andeis</lex> <gender>мр</gender>; ср. <lang>лат.</lang> <lex>ante</lex> <em>впереди, перед</em>.",,"Ende, ante, enteende, andeis, ende, endi, enteend, ender, entende, entend",,
"enti","<heading><strong>enti</strong></heading> (нар.) <em>раньше</em>.",,,,
"entôn, endôn, endiôn","<heading><strong>entôn</strong></heading>, <heading><strong>endôn</strong></heading>, <heading><strong>endiôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>enden</lex> <em>кончать, заканчивать(ся)</em>; <lang>нн.</lang> <lex>enden</lex>.",,"enden",,
"entriuwen","<heading><strong>entriuwen</strong></heading> <source>— Ниб. 460—</source> (нар.) <em>действи­тельно, воистину</em>.","Ниб. 460",,,
"entslâfen","<heading><strong>entslâfen</strong></heading> <lang>свн.</lang> <em>засыпать, умирать</em>; <lang>нн.</lang> <lex>entschlafen</lex>.",,"entschlafen",,
"entwenken","<heading><strong>entwenken</strong></heading> <lang>свн.</lang> (слгл.) <em>удаляться, ус­кользнуть, быть неверным</em>.",,,,
"entwesen","<heading><strong>entwesen</strong></heading> <lang>свн.</lang> <em>не существовать, быть без чего-либо, отсутствовать</em>; ср. <lang>нн.</lang> <lex>abwesend</lex>.",,"abwesend",,
"entwîchen","<heading><strong>entwîchen</strong></heading> <lang>свн.</lang> (снгл. 1) <em>удаляться, от­ступать</em>; <lang>нн.</lang> <lex>entweichen</lex>.",,"entweichen",,
"eowiht, iowiht","<heading><strong>eowiht</strong></heading>, <heading><strong>iowiht</strong></heading>, <lang>свн.</lang> <lex>iht</lex>, <lex>ieht</lex>, <lex>ît</lex> (субст. мест.) <em>некая вещь, нечто</em>.",,"ît, iht, ieht",,
"er","<heading><strong>er</strong></heading> <lang>нжн.</lang> (род. дат. ед. от <lex>se</lex>) <em>ее, ей</em>, род. мн. <em>их</em>.",,"se",,
"er, ê","<heading><strong>er</strong></heading>, <heading><strong>ê</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (нар.) <em>прежде, раньше</em>; (сз.) <em>прежде чем, пока не, (вплоть) до, по</em>; (предл.) <em>перед</em>; <lang>нн.</lang> <lex>eher</lex>, <lex>ehe</lex>; <lang>да.</lang> <lex>ǣr</lex>, а, <lex>ere</lex> <em>прежде, вскоре</em>, <lang>ди.</lang> <lex>ar</lex> <em>рано, прежде</em>, го <lex>áiris</lex> сравн. от <lex>áir</lex> <em>ранний</em>.",,"eher, ehe, ar, ǣr, ere, áiris, áir",,
"er","<heading><strong>er</strong></heading> <gender>мр</gender>, <lex>iȥ</lex>, <lex>eȥ</lex> <gender>срр</gender>, <lex>siu</lex>, <lex>si</lex>, <lex>si</lex> <gender>жр</gender> (мест.) <em>он, оно, она</em>; <lang>нн.</lang> <lex>er</lex>, <lex>es</lex>, <lex>sie</lex>; <lang>дс.</lang> <lex>hê</lex>, <lex>he</lex>, <lex>hie</lex>, <lex>hî</lex> <gender>мр</gender>, <lex>it</lex>, <lex>et</lex> <gender>срр</gender>, <lex>siu</lex> <gender>жр</gender>, <lang>да.</lang> <lex>hē</lex>, <lex>he</lex> <gender>мр</gender>, <lex>hit</lex> <gender>срр</gender>, <lex>hio</lex>, <lex>hēo</lex> <gender>жр</gender>, <lang>ди.</lang> <lex>hann</lex> <gender>мр</gender>, <lex>hon</lex> <gender>жр</gender>, <lang>го.</lang> <lex>is</lex> <gender>мр</gender>, <lex>ita</lex> <gender>срр</gender>, <lex>si</lex> <gender>жр</gender>; ср. <lang>лат.</lang> <lex>is</lex>, <lex>ea</lex>, <lex>id</lex> (указ. мест.).",,"ea, iȥ, he, hon, it, et, siu, hit, hio, si, eȥ, sie, hēo, id, is, hê, hē, es, er, hie, hî, hann, ita",,
"er","<heading><strong>er</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>срр</gender> <em>руда</em>; <lang>нн.</lang> <lex>Erz</lex>; <lang>да.</lang> <lex>ār</lex>, <lang>го.</lang> <lex>aiz</lex>; ср. <lang>лат.</lang> <lex>aes</lex>, род. <lex>aeris</lex> <em>медь, бронза</em>.",,"aes, ār, aiz, Erz, aeris",,
"êra","<heading><strong>êra</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>êre</lex> <em>честь, почет</em>; <lang>нн.</lang> <lex>Ehre</lex>; <lang>дс.</lang> <lex>ëra</lex>, <lang>да.</lang> <lex>ār</lex>, <lang>ди.</lang> <lex>eir</lex>; ср. <lang>лат.</lang> <lex>astumāre</lex> <em>ценить</em>, <lang>галл.</lang> <lex>Aesus</lex> (<em>назва­ние божества</em>).",,"Aesus, ār, êre, astumāre, ëra, eir, Ehre",,
"erbarmên","<heading><strong>erbarmên</strong></heading> (слгл. 3), <lang>свн.</lang> <lex>erbarmên</lex> <em>сжа­литься</em>; <lang>нн.</lang> <lex>sich</lex> <lex>erbarmen</lex>.",,"erbarmên, sich, erbarmen",,
"erbarôn","<heading><strong>erbarôn</strong></heading> (слгл. 2) <em>обнажать, оголять</em>.",,,,
"erheiȥen","<heading><strong>erheiȥen</strong></heading> <lang>свн.</lang> (слгл.) <em>спешиваться, сле­зать с лошади</em>.",,,,
"erberan","<heading><strong>erberan</strong></heading>, <lang>свн.</lang> <lex>erberen</lex> (снгл. 4) <em>родить</em>; ср. <lang>нн.</lang> <lex>gebären</lex>.",,"erberen, gebären",,
